y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
1.0132553430604619e-02,1.5999987602213015e+00,0.0000000000000000e+00,4.1816220805547213e-04,3.1841264787865737e-04,7.9603161969664331e+00,1.0132553430604619e-02,3.4824234883710233e+01
1.0403375024381479e-02,1.6092622638094902e+00,0.0000000000000000e+00,4.2704111516290869e-04,3.2998202224728337e-04,8.2495505561820845e+00,1.0403375024381479e-02,3.3632946438362069e+01
1.0677569880448469e-02,1.6183253846002712e+00,0.0000000000000000e+00,4.3592910575455501e-04,3.4150131982377334e-04,8.5375329955943329e+00,1.0677569880448469e-02,3.2516977487473468e+01
1.0955127675524213e-02,1.6271999611099963e+00,0.0000000000000000e+00,4.4482366201118779e-04,3.5296451254281872e-04,8.8241128135704674e+00,1.0955127675524213e-02,3.1469763787401007e+01
1.1236037959714607e-02,1.6358968431980665e+00,0.0000000000000000e+00,4.5372229048428045e-04,3.6436643185140281e-04,9.1091607962850691e+00,1.1236037959714607e-02,3.0485414725209921e+01
1.1520290156906221e-02,1.6444259852291061e+00,0.0000000000000000e+00,4.6262252389950114e-04,3.7570267112772750e-04,9.3925667781931867e+00,1.1520290156906221e-02,2.9558638255523420e+01
1.1807873565164495e-02,1.6527965300744265e+00,0.0000000000000000e+00,4.7152192283888303e-04,3.8696949503214340e-04,9.6742373758035836e+00,1.1807873565164495e-02,2.8684674342575363e+01
1.2098777357136648e-02,1.6610168847994395e+00,0.0000000000000000e+00,4.8041807728880067e-04,3.9816375612423645e-04,9.9540939031059104e+00,1.2098777357136648e-02,2.7859236017792682e+01
1.2392990580459340e-02,1.6690947888302137e+00,0.0000000000000000e+00,4.8930860804613811e-04,4.0928281882517278e-04,1.0232070470629319e+01,1.2392990580459340e-02,2.7078457225362399e+01
1.2690502158170991e-02,1.6770373753340937e+00,0.0000000000000000e+00,4.9819116797927333e-04,4.2032449061059433e-04,1.0508112265264858e+01,1.2690502158170991e-02,2.6338846697031386e+01
1.2991300889128855e-02,1.6848512264895898e+00,0.0000000000000000e+00,5.0706344314388485e-04,4.3128696017731062e-04,1.0782174004432765e+01,1.2991300889128855e-02,2.5637247167787791e+01
1.3295375448430735e-02,1.6925424232617969e+00,0.0000000000000000e+00,5.1592315375622233e-04,4.4216874222773966e-04,1.1054218555693490e+01,1.3295375448430735e-02,2.4970799313087355e+01
1.3602714387841330e-02,1.7001165902429431e+00,0.0000000000000000e+00,5.2476805502850107e-04,4.5296862845138299e-04,1.1324215711284573e+01,1.3602714387841330e-02,2.4336909853825546e+01
1.3913306136223269e-02,1.7075789360641456e+00,0.0000000000000000e+00,5.3359593787258525e-04,4.6368564424540380e-04,1.1592141106135093e+01,1.3913306136223269e-02,2.3733223336310857e+01
1.4227138999972789e-02,1.7149342898346120e+00,0.0000000000000000e+00,5.4240462947918939e-04,4.7431901070040021e-04,1.1857975267510005e+01,1.4227138999972789e-02,2.3157597150431684e+01
