y,u_x,u_y,nu_tilde,nu_t,nu_t_over_nu,wall_distance,du_dy
1.0823490035218985e-03,1.5648467148917764e+00,0.0000000000000000e+00,1.1969502989198305e-04,4.4185914078894161e-06,8.8371828157788324e-02,1.0823490035218985e-03,1.3425922008500811e+03
1.1742432269250536e-03,1.6865128223044672e+00,0.0000000000000000e+00,1.2976685455714691e-04,6.0430944826209547e-06,1.2086188965241909e-01,1.1742432269250536e-03,1.3022320537739179e+03
1.2698581842141565e-03,1.8088620679341227e+00,0.0000000000000000e+00,1.4022786220095929e-04,8.1409955688388774e-06,1.6281991137677754e-01,1.2698581842141565e-03,1.2538577442426886e+03
1.3691902755401332e-03,1.9307535666991449e+00,0.0000000000000000e+00,1.5107397297033044e-04,1.0810100170946148e-05,2.1620200341892296e-01,1.3691902755401332e-03,1.1975304147922088e+03
1.4722357611058779e-03,2.0509915766431370e+00,0.0000000000000000e+00,1.6230021826335974e-04,1.4156488098234305e-05,2.8312976196468609e-01,1.4722357611058779e-03,1.1338958469320023e+03
1.5789907613070976e-03,2.1683966228006133e+00,0.0000000000000000e+00,1.7390056500493254e-04,1.8291631596529927e-05,3.6583263193059851e-01,1.5789907613070976e-03,1.0641987148034477e+03
1.6894512568783717e-03,2.2818838980717997e+00,0.0000000000000000e+00,1.8586784049192675e-04,2.3328470803474488e-05,4.6656941606948976e-01,1.6894512568783717e-03,9.9019098120902345e+02
1.8036130890444757e-03,2.3905355537931650e+00,0.0000000000000000e+00,1.9819380778940578e-04,2.9376621240943740e-05,5.8753242481887480e-01,1.8036130890444757e-03,9.1394406241163779e+02
1.9214719596769569e-03,2.4936538983508640e+00,0.0000000000000000e+00,2.1086939867074082e-04,3.6537058431375196e-05,7.3074116862750393e-01,1.9214719596769569e-03,8.3760597613944628e+02
2.0430234314559484e-03,2.5907871185225995e+00,0.0000000000000000e+00,2.2388505921194343e-04,4.4896753211951298e-05,8.9793506423902592e-01,2.0430234314559484e-03,7.6316166546498607e+02
2.1682629280372345e-03,2.6817261117216216e+00,0.0000000000000000e+00,2.3723112911039110e-04,5.4523782731727842e-05,1.0904756546345569e+00,2.1682629280372345e-03,6.9224896230641571e+02
2.2971857342245607e-03,2.7664775193318314e+00,0.0000000000000000e+00,2.5089817500885885e-04,6.5463408004816815e-05,1.3092681600963363e+00,2.2971857342245607e-03,6.2605889318579102e+02
2.4297869961471433e-03,2.8452218587269491e+00,0.0000000000000000e+00,2.6487722518485417e-04,7.7735503509189475e-05,1.5547100701837895e+00,2.4297869961471433e-03,5.6532052212270355e+02
2.5660617214424142e-03,2.9182661771696603e+00,0.0000000000000000e+00,2.7915988954618884e-04,9.1333571333567670e-05,1.8266714266713533e+00,2.5660617214424142e-03,5.1034975464982926e+02
2.7060047794439826e-03,2.9859987583743854e+00,0.0000000000000000e+00,2.9373837818448632e-04,1.0622539614375805e-04,2.1245079228751607e+00,2.7060047794439826e-03,4.6113364589734556e+02
